time,.TimeStep,.Agent,.Target,.LambdaMin,.TMu,.TMuDim,.TCov,.TCovDim
1969/12/31/17:04:05.912000,2,X2,T1,1,"(2.4288862125768, 5.08503913261282, -6.550056869066598, -1.2584916015302572)","(4, 1)","(1040.13916396265, 200.0038397009308, 1.2276827907429152e-07, 2.3606578868532492e-08, 200.0038397009308, 1000.1592000371738, 2.3606578868532492e-08, 4.539206463414055e-09, 1.2276827907429158e-07, 2.3606578868532495e-08, 1040.1391580588133, 200.0038385657077, 2.360657886853249e-08, 4.539206463414056e-09, 200.0038385657077, 1000.1591998188866)","(4, 4)"
1969/12/31/17:04:05.913000,2,X1,T1,1,"(3.4288862125768, 7.08503913261282, -6.550056869066598, -1.2584916015302572)","(4, 1)","(1040.1391639589744, 200.00383970005052, 1.2276827907342744e-07, 2.3606578868345857e-08, 200.00383970005052, 1000.1592000369704, 2.3606578868345857e-08, 4.539206463374231e-09, 1.2276827907342744e-07, 2.3606578868345857e-08, 1040.1391580551679, 200.00383856483322, 2.3606578868345853e-08, 4.539206463374231e-09, 200.00383856483322, 1000.1591998186844)","(4, 4)"
1969/12/31/17:04:06.008000,3,X2,T1,0.500369719490024,"(2.4288862125768, -2.08503913261282, -6.550056869066598, -1.2584916015302572)","(4, 1)","(706.318044923341, 194.37276321086728, 8.302554560369756e-08, 1.5698040289347053e-08, 194.37276321086728, 1887.486204944084, 1.569804028935212e-08, 4.260944868985209e-09, 8.302554560369754e-08, 1.569804028935212e-08, 706.318040930434, 194.37276245583578, 1.5698040289347053e-08, 4.260944868985209e-09, 194.3727624558358, 1887.4862047382328)","(4, 4)"
1969/12/31/17:04:06.011000,3,X1,T1,0.500609151035806,"(5.4288862125768, 4.08503913261282, -6.550056869066598, -1.2584916015302572)","(4, 1)","(706.2084980813194, 194.34261684485222, 8.301260669191259e-08, 1.5695588526593853e-08, 194.3426168448522, 1886.600744354662, 1.5695588526605397e-08, 4.25966249943173e-09, 8.301260669191259e-08, 1.5695588526605397e-08, 706.2084940888609, 194.3426160898503, 1.5695588526593853e-08, 4.259662499431732e-09, 194.34261608985034, 1886.600744148838)","(4, 4)"
1969/12/31/17:04:06.109000,4,X1,T1,0.500898293988398,"(-1.4288862125768, 6.08503913261282, -6.550056869066598, -1.2584916015302572)","(4, 1)","(483.8004443775951, 242.52786268672833, 5.596371042789337e-08, 1.0901952305993983e-08, 242.52786268672835, 3504.8652425705086, 1.0901952306004281e-08, 1.6345268787712167e-08, 5.596371042789336e-08, 1.0901952306004283e-08, 483.8004416865724, 242.52786216145745, 1.0901952305993983e-08, 1.6345268787712167e-08, 242.52786216145742, 3504.8652417627804)","(4, 4)"
1969/12/31/17:04:06.111000,4,X2,T1,0.500544857133037,"(4.4288862125768, 2.08503913261282, -6.550056869066598, -1.2584916015302572)","(4, 1)","(483.9337285658346, 242.6303423205966, 5.597938964496429e-08, 1.090534909821063e-08, 242.63034232059658, 3508.917163686298, 1.0905349098156834e-08, 1.636808038946376e-08, 5.597938964496429e-08, 1.0905349098156836e-08, 483.93372587425307, 242.6303417971746, 1.090534909821063e-08, 1.6368080389463758e-08, 242.6303417971746, 3508.917162909676)","(4, 4)"
1969/12/31/17:04:06.212000,5,X2,T1,0.50079501056904,"(2.4288862125768, 5.08503913261282, -6.550056869066598, -1.2584916015302572)","(4, 1)","(340.20403144031275, 355.722854648086, 3.7851136524423114e-08, 1.0544118712564157e-08, 355.72285464808607, 6139.580672609331, 1.0544118712505568e-08, 8.830804540341906e-08, 3.7851136524423114e-08, 1.0544118712505568e-08, 340.20402962075025, 355.72285414322135, 1.0544118712564167e-08, 8.830804540341906e-08, 355.7228541432214, 6139.58066839371)","(4, 4)"
1969/12/31/17:04:06.213000,5,X1,T1,0.501310620601756,"(1.4288862125768, 7.08503913261282, -6.550056869066598, -1.2584916015302572)","(4, 1)","(340.0639562493582, 355.39389718820837, 3.783496839627491e-08, 1.05346693214314e-08, 355.3938971882083, 6126.7248799037925, 1.053466932142323e-08, 8.806474539804436e-08, 3.783496839627492e-08, 1.0534669321423229e-08, 340.0639544302932, 355.39389668020823, 1.0534669321431406e-08, 8.806474539804437e-08, 355.3938966802083, 6126.724875637326)","(4, 4)"
1969/12/31/17:04:06.307000,6,X2,T1,0.501130515563658,"(2.4288862125768, -2.08503913261282, -6.550056869066598, -1.2584916015302572)","(4, 1)","(251.17825182277903, 515.1230649406295, 2.6097670812393562e-08, 1.9317489464113026e-08, 515.1230649406294, 9339.72563891889, 1.931748946411722e-08, 3.2989511368382724e-07, 2.6097670812393555e-08, 1.9317489464117205e-08, 251.1782505681502, 515.1230640147583, 1.9317489464113026e-08, 3.298951136838272e-07, 515.1230640147584, 9339.725623112932)","(4, 4)"
1969/12/31/17:04:06.316000,6,X1,T1,0.501863550042776,"(1.4288862125768, 4.08503913261282, -6.550056869066598, -1.2584916015302572)","(4, 1)","(251.0331270200701, 514.3320277982123, 2.6081240632099003e-08, 1.927510783596092e-08, 514.3320277982123, 9309.76658595907, 1.9275107835986254e-08, 3.2851392448210655e-07, 2.6081240632099006e-08, 1.9275107835986248e-08, 251.0331257657885, 514.3320268672162, 1.9275107835960926e-08, 3.2851392448210655e-07, 514.3320268672162, 9309.766570091171)","(4, 4)"
1969/12/31/17:04:06.410000,7,X2,T1,0.50153081812324,"(-1.4288862125768, -4.08503913261282, -6.550056869066598, -1.2584916015302572)","(4, 1)","(197.21134420190745, 638.3533315620467, 1.9020269404847802e-08, 3.718283236963537e-08, 638.3533315620468, 11336.361080933922, 3.718283236955906e-08, 7.188621751093399e-07, 1.9020269404847805e-08, 3.718283236955906e-08, 197.21134328705662, 638.3533297648341, 3.718283236963536e-08, 7.188621751093399e-07, 638.353329764834, 11336.361046193944)","(4, 4)"
1969/12/31/17:04:06.410000,7,X1,T1,0.502523377902884,"(3.4288862125768, 2.08503913261282, -6.550056869066598, -1.2584916015302572)","(4, 1)","(197.06634696094432, 637.0749929853987, 1.900366858831771e-08, 3.7071946976195604e-08, 637.0749929853987, 11287.880651277861, 3.7071946976193016e-08, 7.150459538231003e-07, 1.9003668588317715e-08, 3.707194697619302e-08, 197.0663460474559, 637.0749912048096, 3.707194697619561e-08, 7.150459538231004e-07, 637.0749912048096, 11287.880616927127)","(4, 4)"
1969/12/31/17:04:06.506000,8,X2,T1,0.501949568199198,"(2.4288862125768, 5.08503913261282, -6.550056869066598, -1.2584916015302572)","(4, 1)","(162.0586730916009, 655.1436725423467, 1.4868212942819193e-08, 5.014375632652781e-08, 655.1436725423468, 10961.967498361628, 5.0143756326410304e-08, 9.331781483245095e-07, 1.4868212942819193e-08, 5.01437563264103e-08, 162.0586723765196, 655.1436701220505, 5.0143756326527804e-08, 9.331781483245094e-07, 655.1436701220504, 10961.967453319738)","(4, 4)"
1969/12/31/17:04:06.510000,8,X1,T1,0.503213939869017,"(-2.4288862125768, 5.08503913261282, -6.550056869066598, -1.2584916015302572)","(4, 1)","(161.92199984436286, 653.6484510344519, 1.4853008536424088e-08, 4.99892393711878e-08, 653.6484510344519, 10904.534694501765, 4.998923937105683e-08, 9.275626416062022e-07, 1.4853008536424088e-08, 4.998923937105684e-08, 161.92199912986155, 653.6484486194398, 4.9989239371187796e-08, 9.275626416062023e-07, 653.6484486194398, 10904.534649697884)","(4, 4)"
1969/12/31/17:04:06.614000,9,X2,T1,0.502372388602738,"(2.4288862125768, 5.08503913261282, -6.550056869066598, -1.2584916015302572)","(4, 1)","(135.939772557752, 591.0736192533878, 1.2152482121516003e-08, 5.102834429669231e-08, 591.0736192533877, 9232.653686692815, 5.102834429672391e-08, 8.763255765378566e-07, 1.2152482121516005e-08, 5.102834429672392e-08, 135.93977197340337, 591.0736168018497, 5.1028344296692324e-08, 8.763255765378566e-07, 591.0736168018497, 9232.653644610886)","(4, 4)"
1969/12/31/17:04:06.615000,9,X1,T1,0.50391129216107,"(3.4288862125768, 7.08503913261282, -6.550056869066598, -1.2584916015302572)","(4, 1)","(135.81117013842726, 589.5521666233599, 1.2139472186434387e-08, 5.087291420073391e-08, 589.55216662336, 9174.521774753877, 5.0872914200729716e-08, 8.704453409060361e-07, 1.213947218643439e-08, 5.0872914200729736e-08, 135.81116955441044, 589.5521641749381, 5.0872914200733905e-08, 8.704453409060361e-07, 589.552164174938, 9174.521732889749)","(4, 4)"
1969/12/31/17:04:06.706000,10,X2,T1,0.502827818470164,"(2.4288862125768, -2.08503913261282, -6.550056869066598, -1.2584916015302572)","(4, 1)","(114.6391131692738, 500.9290195512084, 1.0095006341082245e-08, 4.499527428327259e-08, 500.92901955120846, 7390.752552341835, 4.4995274283285095e-08, 7.150717773611121e-07, 1.0095006341082244e-08, 4.499527428328509e-08, 114.63911268375453, 500.9290173886822, 4.499527428327261e-08, 7.150717773611121e-07, 500.92901738868227, 7390.752517987717)","(4, 4)"
